type_of_reference,primary_title,authors,journal_name,volume,start_page,year,date,issn,doi,urls,keywords,abstract,end_page,number,secondary_title
JOUR,"Economic inequality and the ecological footprint: Time-varying estimates for four developed economies, 1962–2021","['Andersson, Fredrik N.G.']",Ecological Economics,220,108185,2024,2024/06/01/,0921-8009,https://doi.org/10.1016/j.ecolecon.2024.108185,['https://www.sciencedirect.com/science/article/pii/S092180092400082X'],"['Income inequality', 'Wealth inequality', 'Ecological footprint', 'Carbon footprint', 'Income redistribution']","This paper explores the link between income, and wealth inequality and the ecological footprint in France, Netherlands, United States, and United Kingdom from 1962 to 2021. Based on theoretical considerations, we allow the relationship to vary over time. Our analysis provides some support for income inequality influencing ecological footprints, specifically through carbon emissions. Yet, we do not observe a significant effect on non‑carbon footprints. Notably, the link between income inequality and carbon emissions shifted from negative in the 1960s to positive from the late 1980s onwards. Over all our findings imply that economic inequality's impact on the environment is likely limited and context dependent.",,,
JOUR,Assessment of Carbon Footprint of Potable Water Production: A Case from Bangladesh,"['Bhowmik Akash, Pritom', 'Chakraborty, Pranjol', 'Das, Niloy', 'Mullick, Md. Reaz Akter']",Green Carbon,,,2024,2024/07/18/,2950-1555,https://doi.org/10.1016/j.greenca.2024.06.006,['https://www.sciencedirect.com/science/article/pii/S2950155524000545'],"['carbon footprint', 'potable water production', 'water treatment plant', 'Bangladesh']","Carbon footprint (CF), a measure of greenhouse gas (GHG) emissions, is currently a global concern because of its significant effects on climate change. Understanding GHG emissions from potable water production is important because water treatment and distribution consume much energy while emitting a significant amount of GHG. With economic and population growth, water demand has increased, resulting in higher GHG emissions. This study aims to assess the CF of potable water production in Bangladesh, focusing on the country’s economic capital, Chattogram. This study estimates and compares the CF of the treatment, distribution, and consumption phases. It also estimates the CF of different water treatment plants (WTPs) during the treatment phase. WTPs use electricity for a full-scale operation, during which approximately 4.5 million m3 of raw water of varying turbidity is treated. This study calculates a country-specific GHG emission factor for Bangladesh’s electricity generation method as different sources produce different quantities of GHGs. This study also considers the energy consumed to distribute water from the WTPs to household rooftop tanks in the distribution phase. For the consumption phase, the study considers the energy consumption for domestic water treatment, which involves boiling of a portion of treated water for drinking purposes. The study estimates that approximately 0.18, 0.27, and 17.52kg CO2-eq are emitted in the treatment, distribution, and consumption phases, respectively, for the production of 1 m3 of water. Boiling at the consumption phase alone generates 97.48% of the total CF. The daily CFs for surface water and groundwater use in 2017 were 16,387.78 and 34,092.08kg CO2-eq, respectively; those in 2022 were 83,769.25 and 2,130.97kg CO2-eq, respectively. The outcome of this study will assist stakeholders and policymakers in the progress of SDG-13 and in effective planning and operational decision making for sustainable water systems.",,,
JOUR,Estimating crop carbon footprint and associated uncertainty at prefecture-level city scale in China,"['Song, Jie', 'Liu, Yize', 'Zhuang, Minghao', 'Gu, Weiyi', 'Cui, Zhenling', 'Pang, Mingyue', 'Yang, Yi']","Resources, Conservation and Recycling",199,107263,2023,2023/12/01/,0921-3449,https://doi.org/10.1016/j.resconrec.2023.107263,['https://www.sciencedirect.com/science/article/pii/S092134492300397X'],"['Staple crops', 'Carbon footprint', 'Life cycle assessment', 'Spatial visualization']","We estimate the prefecture-level city scale carbon footprint and associated uncertainties for three staple crops in China, and make all our raw data publicly available. The carbon footprint of maize, wheat, and rice is estimated at 3620 kg CO₂e ha−1 (1259–5552 kg CO₂e ha−1, 95 % confidence interval), 3153 kg CO₂e ha−1 (1359–5214 kg CO₂e ha−1), and 9494 kg CO₂e ha−1 (3450–16,491 kg CO₂e ha−1). For maize, the Northwest has high emissions intensities and the Northeast has low emissions intensities, with relatively even uncertainty across space. For wheat, the Southwest is characterized by low emissions intensities but high uncertainties, and the opposite is true for the East. For rice, the Northeast is characterized by low emissions intensities and low uncertainties and the Southeast by high emissions intensities and high uncertainties. Our study identifies crop carbon and uncertainty hotspots at the city scale, providing an important reference for future research.",,,
JOUR,The impact of slaughter weight and sex on the carbon footprint of pig feed intake,"['De Cuyper, C.', 'Van den Broeke, A.', 'Van linden, V.', 'Leen, F.', 'Aluwé, M.', 'Van Meensel, J.', 'Millet, S.']",animal,18,101119,2024,2024/04/01/,1751-7311,https://doi.org/10.1016/j.animal.2024.101119,['https://www.sciencedirect.com/science/article/pii/S1751731124000508'],"['Bodyweight', 'Fattening pigs', 'Feed', 'Greenhouse gas', 'Sustainability']","The impact of pork production on global livestock’s greenhouse gas emissions is substantial. Understanding the factors influencing these emissions is crucial in achieving a more sustainable pig husbandry. In two independent experiments, the impact of slaughter weight on the carbon footprint (CFP) of pig feed intake (CFPFI) was evaluated for growing-finishing pigs of different sexes (entire males (EM), barrows (BA), immunocastrates (IC) and gilts (GI)). In experiment 1 118 animals were raised individually in experimental conditions. In experiment 2 384 animals were housed in group (four pigs per pen), in controlled commercial farm circumstances. All animals were fed ad libitum in a three-phase feeding regime and slaughtered at different BW, ranging from 110 to 148 kg (experiment 1) and from 99 to 138 kg (experiment 2). When only the fattening period was considered, the CFPFI was expressed per kg carcass growth. When the production of piglets was also taken into account, the CFPFI was calculated per kg carcass weight. For all sexes, the heavier the pig, the higher the CFPFI per kg carcass growth (P < 0.05, experiment 1; P < 0.001, experiment 2) and per kg carcass weight (P < 0.05, experiment 1; P < 0.01, experiment 2). In addition, BA had a significantly higher CFPFI per kg carcass growth and per kg carcass weight compared to EM and IC and to EM, IC and GI in respectively experiments 1 and 2 (P < 0.001). When performing a desk study with a soy-free (i.e. reduced CFP) feed in the third phase of experiment 2, slaughter weight no longer affected the CFPFI per kg carcass growth (P = 0.133) and per kg carcass weight (P = 0.856). A higher slaughter weight thus implies a lower sustainability, unless a sufficiently low-CFP feed is provided in the finisher phase.",,4,
JOUR,The carbon footprint and wastage of intravitreal injections,"['Maestri, F.', 'Ferrero, A.', 'Rothschild, P.-R.', 'Eymard, P.', 'Brézin, A.P.', 'Monnet, D.']",Journal Français d'Ophtalmologie,47,104079,2024,2024/04/01/,0181-5512,https://doi.org/10.1016/j.jfo.2024.104079,['https://www.sciencedirect.com/science/article/pii/S018155122400024X'],"['Carbon footprint', 'Wastage', 'Intravitreal injections', 'Empreinte carbone', 'Déchets', 'Injections intravitréennes']","Summary Purpose The healthcare system emits greenhouse gas emissions and produces waste that in turn threatens the health of populations. The objective of our study was to measure the ecological threat related to intravitreal injections. Methods Emissions were separated into scope 2 corresponding to Heating, Ventilation and Air Conditioning (HVAC) of the building, and scope 3 corresponding to travels (patients and staff), and life cycle assessment (LCA) of medical devices (MD) and pharmaceutics. Greenhouse gas (GHG) emissions and waste for a single injection were first measured through a waste audit, and secondly anticipated theoretically with a calculator. Results The average GHG emissions and waste measured were 277kgCO2eq/IVI and 0.5kg/IVI, respectively. Pharmaceuticals were responsible for 97% of total emissions. Emissions unrelated to pharmaceuticals counted for 8.4kgCO2eq/IVI. GHG emissions and waste estimated with the calculator were 276kgCO2eq/IVI and 0.5kg/IVI, respectively, showing that the calculator was accurate. Conclusion Our study provides a puzzle piece to carbon footprint and waste assessment in the field of ophthalmology. It may help provide concrete data for future green vs. vision discussions. Résumé Objectif Le système de santé émet des émissions de gaz à effet de serre et produit des déchets qui à leur tour menacent la santé des populations. L’objectif de notre étude était de mesurer l’impact écologique en lien avec les injections intravitréennes. Méthodes Les émissions ont été réparties entre le SCOPE 2 correspondant au chauffage, à la ventilation et à la climatisation (CVC) du bâtiment, et le SCOPE 3 correspondant aux déplacements (patients et personnel) et à l’analyse du cycle de vie des dispositifs médicaux et des produits pharmaceutiques. Les émissions de gaz à effet de serre (GES) et les déchets pour une injection unique ont d’abord été mesurés par analyse des déchets, puis anticipés théoriquement à l’aide d’un calculateur. Résultats Les émissions de GES et les déchets mesurés étaient respectivement de 277kgCO2eq/injection intravitréenne (IVT) et de 0,5kg/IVT. Les médicaments étaient responsables de 97 % des émissions totales. Les émissions non liées aux médicaments représentaient 8,4kgCO2eq/IVT. Les émissions de GES et les déchets estimés à l’aide du calculateur étaient respectivement de 276kgCO2eq/IVI et de 0,5kg/IVT, faisant du calculateur un outil précis. Conclusion Notre étude apporte une pierre à l’édifice de l’évaluation de l’empreinte carbone et des déchets dans le domaine de l’ophtalmologie.",,4,
JOUR,The role of holiday styles in shaping the carbon footprint of leisure travel within the European Union,"['Laroche, Perrine C.S.J.', 'Schulp, Catharina J.E.', 'Kastner, Thomas', 'Verburg, Peter H.']",Tourism Management,94,104630,2023,2023/02/01/,0261-5177,https://doi.org/10.1016/j.tourman.2022.104630,['https://www.sciencedirect.com/science/article/pii/S0261517722001431'],"['Leisure travel', 'Tourism', 'Preferences', 'Ecosystem services demand', 'European union', 'Carbon footprint', 'Transport', 'Distance']","Leisure travel within the European Union (EU) contributes significantly to the carbon footprint of global tourism. Distance travelled is a main factor in this impact, but some of its determinants remain unexplored. We examined the role of tourists' holiday preferences in shaping the carbon footprint of leisure travel within the EU by calculating demand and impact indicators associated with eight holiday styles. We find a substantial and equivalent carbon footprint for visiting relatives, nature tourism and sea, sun and sand tourism, but a higher carbon intensity of travel per trip for the latter. This is due to widespread demand for sea, sun, and sand tourism despite the concentration of destinations in Southern Europe. Furthermore, international travel within the EU is on average three times more carbon intensive than domestic travel. Our insights suggest that tourists’ holiday preferences can be leveraged for the sustainable development of leisure travel within the EU.",,,
JOUR,Integrating smart Green Product Platforming for carbon footprint reduction: The role of blockchain technology and stakeholders influence within the agri-food supply chain,"['Camel, Afaf', 'Belhadi, Amine', 'Kamble, Sachin', 'Tiwari, Sunil', 'Touriki, Fatima Ezahra']",International Journal of Production Economics,272,109251,2024,2024/06/01/,0925-5273,https://doi.org/10.1016/j.ijpe.2024.109251,['https://www.sciencedirect.com/science/article/pii/S0925527324001087'],"['Green', 'Product platforming', 'Blockchain technology', ""Stakeholders' stress"", 'Agri-food', 'Carbon footprint']","This study explores the integration of Blockchain Technology (BCT) with Green Product Platforming (GPP) in the agri-food industry, addressing the gap in empirical evidence about BCT's effective contribution to enhancing carbon and the economic performance of supply chains. It aims to analyze the impact of BCT-enabled GPP on reducing the carbon footprint and enhancing economic performance in the agri-food sector. In the agri-food sector, BCT-enabled platforms are emerging as critical methods. These platforms are characterized by their assortment of consistent modules and interfaces, adept at efficiently producing and digitally delivering diverse green products. The research combines quantitative surveys and qualitative interviews to examine the interplay of BCT as a digital technology and GPP and the significant role of stakeholders' stress in driving the effectiveness of BCT-enabled GPP, exploring the conditions of its positive impact on carbon and economic performance. The findings indicate the importance of aligning GPP initiatives with stakeholder expectations and leveraging BCT to navigate and capitalize on stakeholder pressures for improved carbon and economic performance. Highlighting actionable insights, this research offers a roadmap for agri-food managers to harness technological advancements to meet the dual objectives of sustainability and competitive advantage. Therefore, the paper presents a nuanced analysis of how BCT-enabled GPP can revolutionize the agri-food industry toward a more sustainable and efficient future. The study acknowledges limitations, notably, the variability in BCT implementation across the agri-food sector and the need for ongoing evaluation due to blockchain's evolving nature. Future research should explore BCT's diverse applications in agri-food contexts and its scalability within complex supply chains.",,,
JOUR,Carbon footprint evaluation of routine anatomic pathology practices using eco-audit: Current status and mitigation strategies,"['Trecourt, Alexis', 'Cottinet, Pierre-Jean', 'Donzel, Marie', 'Favretto, Marion', 'Bancel, Béatrice', 'Decaussin-Petrucci, Myriam', 'Traverse-Glehen, Alexandra', 'Devouassoux-Shisheboran, Mojgan', 'Meyronet, David', 'Belleannée, Geneviève', 'Rullier, Anne', 'Lê, Minh-Quyen', 'Rival, Guilhem', 'Grinberg, Daniel', 'Tilmant, Cyprien', 'Gaillot-Durand, Lucie']",Annals of Diagnostic Pathology,67,152210,2023,2023/12/01/,1092-9134,https://doi.org/10.1016/j.anndiagpath.2023.152210,['https://www.sciencedirect.com/science/article/pii/S1092913423001089'],"['Greenhouse gas emissions', 'Immunohistochemistry', 'Frozen section examination', 'Energetic transition', 'Eco-responsibility']","Because of global warming, integrating an ecological dimension to the practice of pathology is crucial, as already performed in other medical specialties. The aim of the study was to estimate the greenhouse gas emissions (GHE) of one biopsy/surgical specimen hematoxylin-phloxine-saffron (HPS) slide, one frozen section examination, and one immunohistochemistry (IHC) slide, and to propose environmentally friendly recommendations. The different steps of the pathological procedures, from sample transport to slide/block destruction, were considered for the GHE evaluation. Consumables and reagents used at each step were noted, as well as the electricity consumption of the premises/equipment, specific wastes, and staff travel. The GHE analyses were performed according to the eco-audit method. The GHE attributable to one HPS slide of a biopsy, one HPS slide of a surgical specimen, one frozen section examination, and one IHC slide were 0.589 kgCO2e (CO2 equivalent), 0.618 kgCO2e, 1.481 kgCO2e, and 0.363 kgCO2e, respectively. For a one-year activity in the pathology department, the GHE for HPS was estimated at 91,897 kgCO2e, equivalent to 422,321 km of thermal car ride. The main GHE sources were staff travel for one biopsy HPS slide (34.2 %) and one surgical specimen HPS slide (32.6 %), materials (39.1 %) and staff travel (27.2 %) for one frozen section examination, and staff travel (28.2 %) and reagents and their packaging (44.9 %) for one IHC slide. The present study highlighted the most significant sources of GHE for routine practices in a pathology department, underlining that, from pathologists to policy makers, each actor has a responsibility to implement sustainable changes.",,,
JOUR,Carbon footprint at institutions of higher education: The case of the University of Oulu,"['Kiehle, Julia', 'Kopsakangas-Savolainen, Maria', 'Hilli, Meeri', 'Pongrácz, Eva']",Journal of Environmental Management,329,117056,2023,2023/03/01/,0301-4797,https://doi.org/10.1016/j.jenvman.2022.117056,['https://www.sciencedirect.com/science/article/pii/S0301479722026299'],"['Carbon footprint', 'Carbon neutrality', 'Greenhouse gas emissions', 'Higher education institution']","As an answer to the need to reduce greenhouse gas emissions, organizations are increasingly making efforts to account for their carbon footprint. While general guidelines for carbon footprint calculation exist, they usually do not consider special characteristics of organisations such as institutions of higher education. Case studies can act then as learning tools, and comparisons between applied methodologies can be used to develop best practices. However, a lack of case studies published in peerreviewed journals limits access to the calculation results. This work provides a case study for a Northern European institution to extend the pool of available calculation methodologies tested under real-life conditions. The carbon footprint calculation of the University of Oulu utilises a hybrid model, combining approaches of Environmentally Extended Input-Output Analysis and Life-Cycle Assessment. The focus of the work was to consider included scopes and categories of emissions that represent indirect and non-energy-related greenhouse gas emissions, such as commuting or procurement of research and laboratory equipment. In 2019, the institution’s emission inventory sums up to 19,072 t CO2e, with the highest share due to the use of district heat on campus. Another goal of conducting this research was to show the limitations researchers might encounter when analysing caused emissions on an organisational level, and how the calculated carbon footprint can help to identify the best mitigation measures and possibilities for universities to reach carbon neutrality. It was found that the availability of information and missing strategies for data collection are prominent limiting factors. Favourable mitigation measures include the implementation of energysaving policies and improved policies for procurements.",,,
JOUR,Assessment of Bitcoin carbon footprint,"['Sarkodie, Samuel Asumadu', 'Amani, Mohammad Amin', 'Ahmed, Maruf Yakubu', 'Owusu, Phebe Asantewaa']",Sustainable Horizons,7,100060,2023,2023/09/01/,2772-7378,https://doi.org/10.1016/j.horiz.2023.100060,['https://www.sciencedirect.com/science/article/pii/S2772737823000147'],"['Proof-of-Work', 'bitcoin blockchain', 'carbon footprint', 'bitcoin energy consumption', 'cryptocurrency']","Bitcoin is a breakthrough financial technology but a volatile asset in financial markets with a complex fundamental consensus algorithm (Proof-of-Work) limiting its large-scale adoption due to environmental-related issues. Hitherto, the role of its technical and infrastructural composition that drives carbon footprint from an ecological perspective is rarely discussed in the literature. Here, we use machine learning and econometric techniques to analyze the past, present, and future changes in Bitcoin's carbon footprint with daily data spanning July 18, 2010 to December 04, 2021. We document technical drivers, decomposition effects, causal nexus, and implications of the Bitcoin blockchain's increasing energy and carbon footprint. We show that Bitcoin's technical drivers could have potential impacts on Bitcoin's carbon footprint, and subsequently, global climate change. For example, the network's hashrate increases mining difficulty––thereby increasing Bitcoin's energy consumption and subsequently, carbon footprint. We observed a direct association between the marginal effect of block size and transaction count––implying that a higher block size improves transaction efficiency and then reduces Bitcoin's energy and carbon footprint. Besides, low mining difficulty increases market capitalization whereas increasing mining difficulty reduces bitcoin mining profit in the long run. This infers the reward for mining Bitcoin has a diminishing return in the long term. Thus, the adoption of advanced hardware for Bitcoin mining will spur energy and carbon intensity, yet will have a low return on investment. We highlight environmental regulations and regulatory changes that could limit Bitcoin's carbon footprint.",,,
JOUR,Green Production of Airport Terminals Considering Carbon Footprint and Indoor Air Quality: A Multi-Objective Optimization Perspective,"['Xiong, Sheng-Hua', 'Xiong, Xin', 'Li, Gang', 'Pedrycz, Witold', 'Deveci, Muhammet', 'Chen, Zhen-Song']",Building and Environment,,111859,2024,2024/07/19/,0360-1323,https://doi.org/10.1016/j.buildenv.2024.111859,['https://www.sciencedirect.com/science/article/pii/S0360132324007017'],"['Airport terminal', 'Sustainable production', 'Multi-objective optimization', 'Carbon emissions', 'Indoor environmental quality']","The escalating carbon emissions from global civil aviation, exceeding 70% of the International Civil Aviation Organization's (ICAO) forecasted levels between 2013 and 2019, underscore an urgent need for sustainable practices in airport terminal production. To address this challenge, the present study has formulated a multi-objective optimization model that comprehensively incorporates two crucial aspects: carbon emissions from airport terminals and passenger comfort. Specifically, models for carbon emissions and indoor environmental air quality are developed, taking into account factors such as ambient temperature, light intensity, noise, and ventilation quality concerning both airport terminal emissions and passenger comfort. Building upon these models, a multi-objective programming framework is devised, considering practical operational constraints. To contend with uncertainties in model parameters, the model is evolved into a fuzzy optimization framework and thereafter solved by the fuzzy optimization theory. The model's viability is tested through a case study of Mianyang Airport's terminal in China's southwestern region. In the context of concurrently considering carbon emission reduction and optimizing indoor environmental quality, winter carbon emissions increased by 212.09% compared to summer, while indoor environmental quality declined by 5.68%.",,,
JOUR,Carbon footprint of dairy manure management chains in response to nutrient recovery by aerobic pre-treatment,"['Sobhi, Mostafa', 'Zheng, Jiabao', 'Li, Bowen', 'Gaballah, Mohamed S.', 'Aboagye, Dominic', 'Guo, Jianbin', 'Dong, Renjie']",Journal of Environmental Management,328,116975,2023,2023/02/15/,0301-4797,https://doi.org/10.1016/j.jenvman.2022.116975,['https://www.sciencedirect.com/science/article/pii/S0301479722025488'],"['Carbon footprint', 'Intermittent treatment', 'Manure treatment', 'Emissions mitigation', 'Greenhouse gas', 'Aerobic treatment']","Aerobic pre-treatment of liquid dairy manure has previously been reported as an effective nutrient export and emissions mitigation approach. The first objective of this study was to experimentally determine the optimal intermittent aeration ratio for nutrient recovery from liquid dairy manure through an on-site pilot-scale reactor to partially reduce the required energy for the aerobic process. The second objective was to theoretically investigate the total carbon footprints of direct manure spreading on croplands and permanent manure storage in open anaerobic lagoons in response to nutrient removal by the optimal determined intermittent aerobic treatment ratio. Four scenarios (S) were included; S1 was the traditional scenario of manure spread on croplands without the aerobic pre-treatment, S2 was the modified scenario of manure spread on croplands that included the aerobic pre-treatment, S3 was the traditional scenario of manure storage in lagoons, and S4 was the modified scenario of manure storage in lagoons that included the aerobic pre-treatment. The results showed that comparable nutrient removal efficiencies could be obtained with a 5:1 intermittent aeration ratio. Total nitrogen (TN) and total phosphorus (TP) were recovered were 41.5 ± 1.3% and 37.0 ± 4.0%, respectively, in ammonium sulfate and phosphorus-rich sludge, while 55.3 ± 1.4% of the chemical oxygen demand (COD) was removed. The estimated total carbon footprint for S1, S2, S3, and S4 were 24.4, 37.9, 45.3, and 45.9 kg CO2-eq ton−1, respectively. However, the total carbon footprint of S2′ and S4′, which used renewable-based energy to run the reactor instead of fossil-based energy used in S2 and S4, were estimated to 29.5 and 37.5 kg CO2-eq ton−1, respectively. Clearly, applying the aerobic pre-treatment increased the total carbon footprint of all cases except S4′, in which the total carbon footprint was mitigated by −17.2%. Accordingly, the aerobic pre-treatment is only recommended in the case of S4’ from a carbon footprint point of view although it is an effective nutrient recovery technology.",,,
JOUR,Transition towards carbon neutrality: Forecasting Hong Kong's buildings carbon footprint by 2050 using a machine learning approach,"['Dong, Hanmin', 'Zhang, Lin']",Sustainable Production and Consumption,35,633,2023,2023/01/01/,2352-5509,https://doi.org/10.1016/j.spc.2022.12.014,['https://www.sciencedirect.com/science/article/pii/S2352550922003359'],"['Carbon neutrality', 'Carbon footprint', 'Energy consumption', 'Hong Kong building', 'Machine learning']","Hong Kong has planned to achieve zero-carbon emissions before 2050. Hong Kong's building sector is responsible for approximately 60 % of carbon emissions, while its evolutionary trajectories and neutrality pathway remain unclear. To this end, we adopt the STIRPAT model and machine learning approach to identify the most relevant factors and determine their historical correlation with building energy consumption. Then, the out-of-sample prediction is conducted to explore the energy pathway and carbon footprint towards 2050 in the Hong Kong building sector under various assumptions and scenarios. The predicted results suggest that electricity consumption and carbon emissions will continue to increase following current trends. In a moderate scenario, if 2.2 % and 1.6 % of residential and commercial buildings are replaced annually with 2.75 % better energy-performance construction, their electricity consumption is likely to reach 30 %–40 % and 20 %–30 % from the 2015 level as the HK2050 required. With lower electricity emission intensity, the Hong Kong building sector could achieve near zero emissions. Our projection is valuable for developing energy-saving and emission-mitigation strategies towards various carbon neutrality goals in the building sector.",642,,
JOUR,"Linking per capita income, renewable energy, natural resources, trade, and Urbanisation to material footprint: insights from Saudi Arabia","['Dada, James Temitope', 'Al-Faryan, Mamdouh Abdulaziz Saleh']",Energy Nexus,13,100269,2024,2024/03/01/,2772-4271,https://doi.org/10.1016/j.nexus.2023.100269,['https://www.sciencedirect.com/science/article/pii/S2772427123000992'],"['Material footprint', 'Per capita income', 'Renewable energy', 'Natural resources', 'Trade', 'Saudi Arabia']","In view of growing greenhouse gases and climate change, this paper investigates the effect of per capita income, renewable energy, natural resources, trade, and urbanisation on the material footprint of Saudi Arabia. This study uses data from 1990 to 2019. Autoregressive Distributed Lag, Fully Modified Ordinary Least Squares, Dynamic Ordinary Least Squares, and Canonical Cointegrating Regression are used as estimation techniques. The result hints that per capita income, renewable energy, natural resources, trade, and urbanisation are determinants of material footprint in Saudi Arabia. Furthermore, the short- and long-run results show that per capita income, trade, and urbanisation increase material footprint, contributing significantly to Saudi Arabia's ecological damage. However, renewable energy and total natural resources rent reduce the material footprint in both periods. Other cointegration techniques also support the long-run estimates. The implications of the result for a sustainable environment were discussed.",,,
JOUR,"Carbon footprint, economic benefits and sustainable fishing: Lessons for the future from the Western Mediterranean","['Muñoz, M.', 'Reul, A.', 'Guijarro, B.', 'Hidalgo, M.']",Science of The Total Environment,865,160783,2023,2023/03/20/,0048-9697,https://doi.org/10.1016/j.scitotenv.2022.160783,['https://www.sciencedirect.com/science/article/pii/S004896972207886X'],"['Bottom carbon release', 'Trophic level', 'Primary production required', 'CO footprint', 'Fuel consumption']","Ensuring an economically viable, sustainable and low CO2 emission extractive fishery is critical in order to achieve the life below water UN sustainable development goals and the climate change commitments of Paris agreement. This challenge is even more relevant in the most overexploited region of the world: The Mediterranean Sea. Here, we use the socio-ecological system of the Spanish Mediterranean commercial fisheries (Northern Alboran Sea, Northern Spain and the Balearic Islands) to develop an integrative impact assessment, including detailed socio-economic, ecosystem indices of the trophic structure of extractive fishery and CO2 emission analyses combining different gear, vessel size classes as well as a wide range estimation of carbon release from the seafloor by bottom trawling. Northern Alboran Sea preferentially requires reduction in purse seine fishery while in Northern Spain bottom trawling should be reduced first to reach sustainable exploitation. Fuel CO2 footprint of purse seine and bottom trawling are among the lowest footprints of animal protein production, but considering sweeping released CO2 from the seafloor the bottom trawling footprint becomes the animal protein production with the highest footprint. Moreover, the lowest bottom released CO2 estimation overrides 2.7–10 times the CO2 buried in the seafloor through the biological pump in trawled areas potentially turning the continental shelf from a CO2 sink to a CO2 source. Net profit per fuel derived CO2 emission for all fleets is lower than 1€ kgCO2−1, being lowest for large bottom trawler (0.025 € kgCO2−1). Thus, urgent mitigation and adaptation measures are necessary to obtain sustainable fishery in terms of net profit, sustainable seafood extraction and CO2 emission reduction. Our study provides scientific bases to develop these measures such as the restriction of harmful fishing gear in carbon rich river influenced areas, reduction of bottom contact of the fishing gear, favouring purse seine fishery and smaller bottom trawlers.",,,
JOUR,Carbon footprint accounting across the construction waste lifecycle: A critical review of research,"['Yuan, Liang', 'Yang, Bing', 'Lu, Weisheng', 'Peng, Ziyu']",Environmental Impact Assessment Review,107,107551,2024,2024/07/01/,0195-9255,https://doi.org/10.1016/j.eiar.2024.107551,['https://www.sciencedirect.com/science/article/pii/S0195925524001380'],"['Construction waste', 'Carbon emission accounting', 'Life cycle assessment', 'Circular economy', 'Critical review']","Traditionally, construction waste management researchers have been less interested in carbon emissions, as the construction waste they deal with is largely solid and visible while carbon emissions are opposite. However, this situation has gradually changed, as carbon footprint quantification in construction waste allows for performance benchmarking with other circular economy initiatives. This study presents the first systematic review of construction waste-related carbon emission accounting methods. By analysing 108 journal articles, the review identified seven types of activities (e.g., generation, transportation, sorting, reusing, recycling, landfilling, and incineration) contributing to carbon emissions across the construction waste lifecycle. They encompass four types of emission-producing unit processes: mechanical operation, manual operation, chemical reaction, and material replacement. Each has a distinct emission accounting formula, but follows a generalized principle “Emission per unit × Unit”. Also, existing studies exhibit five evolution trends in this research field: shifting from single-stage accounting to lifecycle assessment; from simple calculation to complex conversion; from project-scale to urban-scale emission investigation and management; from accounting exercises to policy implication; and from carbon accounting to mitigation strategies. Moreover, the review sheds light on three future research directions: the need for generalisable lifecycle emission quantification frameworks, comparisons of the carbon reduction potential among various waste disposal technologies, and consideration of cost analysis into carbon emission quantification. This study contributes to the development of sustainable construction waste management strategies aligned with the goals of the circular economy and carbon neutrality.",,,
JOUR,"Carbon, materials and energy footprint of a utility-scale solar plant in Aotearoa New Zealand","['Pimentel Pincelli, Isabella', 'Hinkley, Jim', 'Brent, Alan']",Solar Energy,273,112535,2024,2024/05/01/,0038-092X,https://doi.org/10.1016/j.solener.2024.112535,['https://www.sciencedirect.com/science/article/pii/S0038092X24002299'],"['GHG emission', 'Life cycle analysis', 'LCA', 'Photovoltaic', 'PERC', 'Utility-scale solar']","Photovoltaic (PV) technologies have evolved over time for higher efficiency, with the adoption of larger wafers, passivated emitter and rear cells (PERC), and bifacial panels. The advancements in the production of PV components call for updated life cycle assessments (LCAs) of PV systems. We undertook a LCA for a utility-scale solar plant in Aotearoa New Zealand using monocrystalline silicon PERC bifacial panels, establishing the carbon, materials and energy footprint associated with the life cycle stages of the solar farm and its components. By comparing different databases for silicon processing up to the wafer slicing our results show that the GHG emissions of utility PV systems are lower (26.2 gCO2eq/kWh versus 40.4 gCO2eq/kWh), and the Energy Return on Investment (EROI) is higher (38 versus 20) when using updated databases, which reflects the advancements in the silicon processing activities. Nevertheless, the production of PV modules continues to be the greatest contributor to the life cycle GHG emissions of the utility-scale PV system (contributing to 51.6 % of the total emissions). Further recycling of the materials from the components of the solar farm reduces emissions moderately. This study underscores the significance of updating LCAs for PV systems, which provide insights for further improvements within the system and guidance for decision makers regarding the adoption of PV systems.",,,
JOUR,"SeeCarbon: a review of digital approaches for revealing and reducing infrastructure, building and City's carbon footprint","['Yan, Jiayi', 'Lu, Qiuchen', 'Chen, Long', 'Broyd, Tim', 'Pitt, Michael']",IFAC-PapersOnLine,55,223,2022,2022/01/01/,2405-8963,https://doi.org/10.1016/j.ifacol.2022.09.211,['https://www.sciencedirect.com/science/article/pii/S240589632201429X'],"['Infrastructure', 'carbon footprint', 'carbon accounting', 'digital tools']","Dealing with climate change and its consequences on the environment have been one of the biggest challenges nowadays, where reducing the carbon footprint has been the focus of most sustainable strategies. The infrastructure is the dominant sector responsible for the total carbon footprint, accounting for approximately 70% of global carbon emissions. This study aims to illustrate the state-of-the-art of digital development and transformation of revealing and reducing carbon footprint in the Architecture, Engineering, Construction and Facility Management (AEC/FM) sectors. The digital tools for revealing and reducing infrastructure's carbon footprint would be summarized and also compared with other sectors, namely the tools for building and city. Current challenges and future development are also included.",228,19,"5th IFAC Workshop on Advanced Maintenance Engineering, Services and Technologies AMEST 2022"
