type_of_reference,primary_title,authors,journal_name,volume,start_page,year,date,issn,doi,urls,keywords,abstract,number,end_page
JOUR,Non-farm employment promotes nutritious diet without increasing carbon footprint: Evidence from rural China,"['Ma, Shaoyue', 'Sun, Mingxing', 'Xu, Xiangbo', 'Bai, Yunli', 'Fu, Chao', 'Li, Chang', 'Zhang, Linxiu']",Journal of Cleaner Production,369,133273,2022,2022/10/01/,0959-6526,https://doi.org/10.1016/j.jclepro.2022.133273,['https://www.sciencedirect.com/science/article/pii/S0959652622028591'],"['Non-farm employment', 'Nutrition level', 'Unbalanced diet', 'Carbon footprint']","A nutritionally balanced, environmentally friendly diet is a prerequisite for the coordinated and sustainable development of human health and the environment. Acquiring a balanced and environmentally friendly diet remains a great global challenge, especially in rural areas in developing countries. As an important indicator for urbanization, non-farm employment has been proven effective in promoting food consumption and diversity in rural areas. However, it remains to be verified how non-farm employment impact food structure, nutrition levels and environmental impact, especially the relationship between sustainability dimension and diet quality improvement needs to be explored. Based on the food consumption data of 996 rural households in China in 2019, the impact of non-farm employment on household food consumption, structure, nutrition levels, and carbon footprint was estimated. It was found that the dietary nutrition structure in rural areas of China is still unbalanced, with ample room for improvement. Non-farm employment will accelerate the adjustment of family dietary structure and the improvement of nutrition level, especially for low-income families. Meanwhile, it will not cause significant increase of food-related carbon footprint. Promotion of rural households’ non-farm employment and publicity health and nutrition knowledge are important ways to strengthen food structure and nutrition promotion.",,
JOUR,Agriculture and animal husbandry increased carbon footprint on the Qinghai-Tibet Plateau during past three decades,"['Li, Mingqi', 'Liu, Shiliang', 'Sun, Yongxiu', 'Liu, Yixuan']",Journal of Cleaner Production,278,123963,2021,2021/01/01/,0959-6526,https://doi.org/10.1016/j.jclepro.2020.123963,['https://www.sciencedirect.com/science/article/pii/S0959652620340087'],"['Carbon emission', 'Carbon sequestration', 'Carbon footprint', 'Agriculture', 'Animal husbandry']","Agriculture and animal husbandry are important sources of greenhouse gas (GHG) emission and contribute to climate change, but the carbon sink function of cropland and grassland plays an important role in mitigating climate changes. Based on ecological footprint methodology, this study comprehensively considered carbon emission and carbon sequestration in order to calculate the carbon footprints from agriculture and animal husbandry, and analyzed spatiotemporal distribution of carbon emission, carbon sequestration, and carbon footprint on the QTP. The results showed that during the period of 1990–2015, the carbon emissions of agriculture and animal husbandry on the QTP increased by 163% and 41%, respectively. Agricultural carbon sequestration showed an increasing trend with a growth rate of 45%, and animal husbandry carbon sequestration showed that it increased by 40% in the period of 1990–2005 and then decreased by 28% in the period of 2005–2015. The carbon footprint of agriculture reduced by 23% from 1990 to 1995, then grew by 112% from 1995 to 2015, and the animal husbandry carbon footprint reduced by 18% from 1990 to 2005 then grew by 71% from 2005 to 2015; both of these phenomena showed the downward trends first before trending upward. The high carbon emission and sequestration regions of agriculture were mainly distributed in the southeastern and northwestern areas of the QTP, and the high carbon footprint regions of agriculture were centered in the southeastern and northeastern areas. The high carbon emission regions of animal husbandry were located in southeastern areas, while the high carbon sequestration regions were in the southeastern, southwestern and middle areas. Additionally, the high carbon footprint regions were in southwestern areas. All measures mentioned showed a significant variation in spatial distribution. The economic and population growth contributed to the increase in carbon footprint despite technological advances. This study propose options to reduce the carbon emission and suggestions to improve carbon sink function. This study provides an important basis for policy formulation and planning for sustainable agriculture on the QTP.",,
JOUR,"Emissions inequality: Disparities in income, expenditure, and the carbon footprint in Austria","['Theine, Hendrik', 'Humer, Stefan', 'Moser, Mathias', 'Schnetzer, Matthias']",Ecological Economics,197,107435,2022,2022/07/01/,0921-8009,https://doi.org/10.1016/j.ecolecon.2022.107435,['https://www.sciencedirect.com/science/article/pii/S0921800922000970'],"['Greenhouse gas emissions', 'Inequality', 'Household expenditure', 'Socio-economic factors', 'Climate change mitigation policies', 'Austria']","The social consequences of carbon taxation are closely related to the income and expenditure patterns of private households. This paper combines the national Household Budget Survey with EXIOBASE3 emissions data to analyse the distribution of the carbon footprint and differences in the exposure to carbon taxation in Austria. The results indicate a strong variation in greenhouse gas (CO2e) emissions along the income distribution, with the top income decile emitting 4.1 times more than the bottom income decile. We distinguish between local, EU-based, and rest-of-the-world (RoW) emissions and study how various approaches to CO2e taxation would affect households with different incomes. Finally, we compare the implications of taxing direct domestic emissions only versus taxing the carbon footprint and find socio-demographic factors that explain why some households have higher tax-to-income ratios. Socially balanced carbon mitigation policies should focus on these emitters as they might be particularly exposed to CO2e taxation.",,
JOUR,"Anthropogenic carbon dioxide origin tracing study in Anmyeon-do, South Korea: Based on STILT-footprint and emissions data","['Kim, Jaemin', 'Jang, Jin-Ah', 'Oh, Young-Suk', 'Lee, Haeyoung', 'Joo, Sangwon', 'Kim, Sumin', 'Boo, Kyung-On', 'Lee, Yun Gon']",Science of The Total Environment,894,164677,2023,2023/10/10/,0048-9697,https://doi.org/10.1016/j.scitotenv.2023.164677,['https://www.sciencedirect.com/science/article/pii/S0048969723033004'],"['Carbon dioxide', 'Lagrangian dispersion model', 'CO enhancement', 'Surface contribution']","Tracking the origin of greenhouse gases (GHGs) is critical for understanding regional GHG concentration variation and developing effective policies to reduce GHG emissions. This study provides quantitative information about the surface contribution to enhancement of carbon dioxide (CO2) concentration at Anmyeon-do (AMY), South Korea, using Stochastic Time-Inverted Lagrangian Transport (STILT) model and anthropogenic CO2 emission data. CO2 enhancement simulated by the STILT and emission data was positively correlated with measured CO2 anomalies at AMY with a correlation coefficient above 0.5. High and low CO2 days were selected using ground measurements of the CO2 mixing ratio at AMY during the winter season of 2018–2019. The surface contributions for the high and low CO2 days at AMY were compared quantitatively. When the high concentration was observed in AMY, the CO2 enhancements were dominated by domestic regions, especially from the metropolitan area in South Korea, due to the high footprint and large CO2 emissions. From the perspective of foreign regions, the surface contribution of eastern China regions (Shandong, Jiangsu-Shanghai) increased during high CO2 days compared to low CO2 days at AMY. During the high CO2 days, the ratio between CO2 and carbon monoxide, a co-emitted species, is large when the surface contribution of eastern China regions is relatively strong due to different regional combustion efficiency (i.e., high combustion efficiency in South Korea compared to that in China). The surface contribution based on STILT and emission data is useful for understanding the cause of high GHG concentration at the receptor (AMY in this study).",,
JOUR,"Environmental sustainability challenges of China’s steel production: Impact-oriented water, carbon and fossil energy footprints assessment","['Chen, Wei', 'Zhang, Qian', 'Wang, Chengxin', 'Li, Zhaoling', 'Geng, Yong', 'Hong, Jinglan', 'Cheng, Yu']",Ecological Indicators,136,108660,2022,2022/03/01/,1470-160X,https://doi.org/10.1016/j.ecolind.2022.108660,['https://www.sciencedirect.com/science/article/pii/S1470160X22001315'],"['Water footprint', 'Carbon footprint', 'Fossil energy footprint', 'Life cycle assessment', 'Steel production']","The Iron and Steel Industry (ISI) is a difficult-to-mitigate sector that has considerable contributions to energy consumption, water pollution, and CO2 emissions. Despite broad interest in energy consumption and CO2 emissions generated by steel production, there are few impact-oriented Water Footprint (WF) assessments of steel production. This study evaluates the water, carbon and fossil energy footprints generated from rolled steel production on the basis of life cycle assessment. Key contributors attributing to those environmental impacts are also identified so as to explore their potential mitigation. Using the Monte Carlo model, an uncertainty analysis is conducted with the aim of providing reliable results for decision-making. Results show that the impact per ton China’s rolled steel production has on global warming, human health, ecosystem quality, and resources is 4.40 × 103 kg CO2 eq (GSD2 = 1.24), 4.15 × 10-3 Disability Adjusted of Life Years (DALY) (GSD2 = 1.31), 7.08 × 10-5 Species·yr (GSD2 = 2.04), and 4.39 × 104 MJ (GSD2 = 1.28), respectively. Global warming and freshwater ecotoxicity is the dominant contributor to the damage impact on human health and ecosystem quality, respectively. Results also show that the transport (freight ship) of raw materials and the production of iron powder are the two main contributors to the overall impact on the environment that rolled steel production has. Several policy recommendations are proposed in this paper, which focus on adjusting the steel industry’s industrial structure, promoting the national-level carbon emissions trading in the ISI, promoting international cooperation, and improving public awareness of green and low-carbon development. Such policy recommendations provide decision-makers with valuable insights, which thus allow them to prepare the appropriate mitigation policies.",,
JOUR,Assessing the awareness and willingness of European experts to reduce their carbon footprint in everyday consumption,"['Khanam, Tahamina', 'Rahman, Abul', 'Xu, Xiaoqian', 'Mola-Yudego, Blas', 'Moula, Md. Munjur E.', 'Pelkonen, Paavo']",Environmental Impact Assessment Review,97,106889,2022,2022/11/01/,0195-9255,https://doi.org/10.1016/j.eiar.2022.106889,['https://www.sciencedirect.com/science/article/pii/S019592552200155X'],"['Carbon footprint', 'Climate change mitigation', 'Principal component analysis (PCA)', 'Willingness to decrease carbon footprint index (WDC)']","This study investigates and evaluates the European expert's selection and conjoined degree of willingness to decrease the carbon footprint (WDC) of consuming products and services to mitigate climate change. The survey respondents were segregated into four European regions based on their nationality viz. Nordic, Baltic, and Eastern Europe (NBE), Central and South-eastern Europe (CSE), Western and southern Europe (WSE), and North-western Europe (NWE). The WDC are represented by four index categories viz. low willing, moderate willing, willing, and highly willing. The WDC indicators such as housing, food, energy, waste and transport were used to identify the trend and correlation, gender-specific density distribution, and overall regional comparison analysis. The trend and correlation analysis between energy vs. transport, waste vs. food, and a separate state of housing represented the current global carbon emission situation, where four overlapping clusters indicated the respondent's closest or similar selection at their consumption level. The gender-specific density suggests that the male respondent's average WDC for housing and food index ranges from moderate to highly willing. In contrast, the female average WDC for food, waste, energy and transport index ranges from moderate willing to willing and bimodal for other scenarios. Among the regional comparisons, NBE in housing (moderate willing to willing), CSE in food (willing to highly willing), WSE and CSE in energy and all the regions in waste management (willing to highly willing) presented better indices. In transport, Europe as a whole exhibits poor index. In case of WDC index, the regional comparison indicates that the CSE region exhibited better outcomes than the other regions, except for housing. The findings of this study will be beneficial for the common people, researchers, policymakers, and regulators to enrich their future thoughts and contributes to the development and improvement of the existing carbon reduction policies, especially in the transport sector.",,
JOUR,Actions to reduce carbon footprint in materials to healthcare buildings,"['Carrasco-Amador, Juan Pablo', 'Canito-Lobo, José Luis', 'Castaño-Liberal, Alberto', 'Rodríguez-Rego, Jesús Manuel', 'Matamoros-Pacheco, Manuel']",Heliyon,8,e11281,2022,2022/11/01/,2405-8440,https://doi.org/10.1016/j.heliyon.2022.e11281,['https://www.sciencedirect.com/science/article/pii/S2405844022025695'],"['Greenhouse gases', 'Carbon footprint', 'Healthcare buildings']","Building sector is a major contributor to the emissions of pollutant gases, which are responsible for health-damaging effects of climate change. To quantify and reduce these emissions. This comparative study is presented between two buildings that could have a sanitary or any other type of use. Both buildings have similar characteristics, except for their structures, one made of metal and the other of concrete. The design, structural calculation and three-dimensional dimensioning were performed using Building Information Modeling (BIM). The budget and the product carbon footprint study were also carried out, to calculate the level of emissions of each building. The study determined higher emissions for the metal-structured building, with 621.234 tCO2/tmaterial compared to 446.707 tCO2/tmaterial for the concrete building. To reduce these emissions, measures related to the replacement of the previously selected materials, by other materials with lower emission rates and identical functionality were presented, such as the replacement of metal building roof polyurethane, or the composition of cement for the concrete building. Both actions represented a reduction of 84.61% CO2 emissions for metal envelope building and 31.765% for the concrete structure. The results of this work will help to select more sustainable materials to use in the renovation of existing buildings, or in the construction of new buildings. For example, health-related buildings, currently in high demand, given the current pandemic situation caused by COVID-19.",11,
JOUR,Carbon and water footprint of battery-grade lithium from brine and spodumene: A simulation-based LCA,"['Mas-Fons, Aina', 'Horta Arduin, Rachel', 'Loubet, Philippe', 'Pereira, Tina', 'Parvez, Ashak Mahmud', 'Sonnemann, Guido']",Journal of Cleaner Production,452,142108,2024,2024/05/01/,0959-6526,https://doi.org/10.1016/j.jclepro.2024.142108,['https://www.sciencedirect.com/science/article/pii/S0959652624015567'],"['Lithium-ion batteries', 'HSC SIM', 'Life cycle inventory', 'Process simulation', 'Life cycle assessment', 'Lithium carbonate']","Increasing demand for lithium driven by e-mobility spurs the expansion of lithium projects and exploration of lower-grade resources. This article combines process simulation (HSC Chemistry) and life cycle assessment tools to develop life cycle inventories considering declining ore grades scenarios for battery-grade Li2CO3 production from pivotal sources and regions (Salar de Atacama - brine and Greenbushes - spodumene). Depending on the ore grades, climate change results range from 5,0 to 25,0 kgCO2eq/kg Li2CO3 for brine and from 17,1 to 22,3 kgCO2eq/kg Li2CO3 for spodumene. Water consumption for brine varies from 0,2 to 7,7 m3/kg Li2CO3, depending on flow accounting, while for spodumene, it ranges from 0,2 to 0,5 m3/kg Li2CO3. The research shows that decreasing ore grade can lead to a fivefold increase in the carbon footprint for brine-based production and a 1.3-fold increase for spodumene. This underscores the importance of decarbonizing energy provision for lithium production to guarantee a sustainable battery supply chain. This research offers insights into using process simulation to enhance existing LCA studies in the raw materials industry and further develop inventory datasets, considering variations such as deposit ore grades.",,
JOUR,The role of holiday styles in shaping the carbon footprint of leisure travel within the European Union,"['Laroche, Perrine C.S.J.', 'Schulp, Catharina J.E.', 'Kastner, Thomas', 'Verburg, Peter H.']",Tourism Management,94,104630,2023,2023/02/01/,0261-5177,https://doi.org/10.1016/j.tourman.2022.104630,['https://www.sciencedirect.com/science/article/pii/S0261517722001431'],"['Leisure travel', 'Tourism', 'Preferences', 'Ecosystem services demand', 'European union', 'Carbon footprint', 'Transport', 'Distance']","Leisure travel within the European Union (EU) contributes significantly to the carbon footprint of global tourism. Distance travelled is a main factor in this impact, but some of its determinants remain unexplored. We examined the role of tourists' holiday preferences in shaping the carbon footprint of leisure travel within the EU by calculating demand and impact indicators associated with eight holiday styles. We find a substantial and equivalent carbon footprint for visiting relatives, nature tourism and sea, sun and sand tourism, but a higher carbon intensity of travel per trip for the latter. This is due to widespread demand for sea, sun, and sand tourism despite the concentration of destinations in Southern Europe. Furthermore, international travel within the EU is on average three times more carbon intensive than domestic travel. Our insights suggest that tourists’ holiday preferences can be leveraged for the sustainable development of leisure travel within the EU.",,
JOUR,Impact of regional trade integration and energy transition on natural resources footprints in Asian Countries,"['Liu, Yue', 'Lin, Zijie']",Resources Policy,89,104545,2024,2024/02/01/,0301-4207,https://doi.org/10.1016/j.resourpol.2023.104545,['https://www.sciencedirect.com/science/article/pii/S0301420723012564'],"['Resource footprint', 'Regional trade integration', 'Renewable energy transition', 'Financial development']","With the right policies and investments, regional trade integration and energy transition can offer a unique opportunity for economic development and environmental sustainability in Asian countries. Therefore, exploring the determinants of resource sustainability from unique perspectives is crucial. Hence, this study explores the role of regional trade integration, energy transition, and financial development on trade-adjusted resource footprints in selected Asian countries from 1990 to 2021 using Cross-Sectional Augmented Distributed Lag (CS-ARDL) estimation strategy. The preliminary findings expose that cross-sections are heterogenous and the variables are cointegrated. The long-run estimates reveal that improvement in regional trade integration (across borders), and renewable energy transition reduce resource footprints. At the same time, economic growth, financial development, and industrialization contribute to higher resource consumption in the region. These findings are consistent across alternative estimators and recommend relevant policies.",,
JOUR,"Investigating the relationships among green technologies, financial development and ecological footprint levels in Algeria: Evidence from a novel Fourier ARDL approach","['Bergougui, Brahim']",Sustainable Cities and Society,112,105621,2024,2024/10/01/,2210-6707,https://doi.org/10.1016/j.scs.2024.105621,['https://www.sciencedirect.com/science/article/pii/S2210670724004463'],"['Green technologies', 'Financial development', 'Ecological footprint', 'Ecological sustainability', 'Algeria', 'Fourier ARDL']","Many recent initiatives have been introduced to enhance ecological sustainability by minimizing countries' ecological footprints (EF). The focus has been on achieving environmental footprint neutrality through the application of green technologies (GT) and financial development (FD) in facilitating this transition. To determine the contribution of these variables to sustainability, this study investigated the effects of GT and FD on EF in Algeria from Q1/1990 to Q4/2021. Additionally, this research examines the moderating role of GT with FD on EF. To achieve these objectives, advanced Fourier autoregressive distributed lag techniques and the Fourier causality test were employed. The findings reveal that FD increases EF, leading to ecological degradation. Conversely, GT reduces EF in the long run, demonstrating its potential to foster ecological sustainability. Notably, the study highlights the significant moderating role of GT in the FD-EF relationship. This underscores the critical role of environmental technologies in mitigating the adverse effects of FD by facilitating creative technologies and lowering EF. Therefore, the study recommends that Algeria integrates GT with FD to achieve long-term reduction of environmental harm. In conclusion, Algeria needs to hasten GT in combination with stronger FD to mitigate ecological impacts without compromising sustainable economic growth.",,
JOUR,Can food security and low carbon be achieved simultaneously? —An empirical analysis of the mechanisms influencing the carbon footprint of potato and corn cultivation in irrigation areas,"['NIU, Kun-yu', 'GUO, Hui', 'LIU, Jing']",Journal of Integrative Agriculture,22,1230,2023,2023/04/01/,2095-3119,https://doi.org/10.1016/j.jia.2023.02.010,['https://www.sciencedirect.com/science/article/pii/S2095311923000229'],"['food security–climate nexus', 'irrigated agriculture', 'carbon footprint', 'smallholder farmer', 'path analysis']","Irrigated agriculture has tripled since 1950, accounting for 20% of the global arable land and 40% of food production. Irrigated agriculture increases food security yet has controversial implications for global climate change. Most previous studies have calculated carbon emissions and their composition in irrigated areas using the engineering approach to life-cycle assessment. By combining life cycle assessment (LCA)-based carbon emissions accounting with econometric models such as multiple linear regression and structural equation modeling (SEM), we conducted an interdisciplinary study to identify the influencing factors and internal mechanisms of the carbon footprint (CFP) of smallholder crop cultivation on irrigation reform pilot areas. To this end, we investigated corn and potato production data in the 2019–2020 crop years for 852 plots of 345 rural households in six villages (two irrigation agriculture pilot villages and four surrounding villages as controls) in Southwest China. The crop CFP in the irrigation agriculture pilot areas was significantly lower than in non-reform areas. Irrigation reforms mainly impacted the crop CFP through four intermediary effects: the project (implementation of field irrigation channels), technology (improving adoption of new irrigation technologies), management (proper irrigation operation and maintenance), and yield effects. All effects inhibited the CFP, except for the project effect that promotes carbon emissions. Among them, yield increase has the greatest impact on reducing CFP, followed by management and technology effects. Furthermore, planting practices, individual characteristics, and plot quality significantly impacted the crop CFP. This study has policy implications for understanding the food security–climate nexus in the food production industry.",4,1243
JOUR,Carbon footprint and carbon carrying capacity of vegetation in ecologically fragile areas: A case study of Yunnan,"['Fu, Wei', 'Luo, Mingcan', 'Chen, Jiancheng', 'Udimal, Thomas Bilaliib']","Physics and Chemistry of the Earth, Parts A/B/C",120,102904,2020,2020/12/01/,1474-7065,https://doi.org/10.1016/j.pce.2020.102904,['https://www.sciencedirect.com/science/article/pii/S1474706520300176'],"['Carbon footprint', 'Carbon carrying capacity of vegetation', 'Carbon security', 'Ecologically fragile areas', 'Yunnan']","The environment carrying capacity and reduction of carbon emissions are the challenges faced in the ecologically fragile areas. Therefore, the evaluation of carbon security is imperative. This paper, using Yunnan as an example, built up models of carbon footprint and vegetation carbon carrying capacity to assess the level of carbon security. The IPCC method, which is internationally recognized and universal applied, was adopted to calculate carbon footprint. Forest, grassland and crop plant were selected to calculate carbon carrying capacity. The study relied on data from 2008 to 2017 for analysis and arrived at the conclusion that Yunnan's carbon footprint rose from 272.48 million tonnes in 2008 to 317.71 million tonnes in 2017. The result shows that the carbon carrying capacity of vegetation assumed an increasing trend from 339.52 million tonnes in 2008 to 416.30 million tonnes in 2017. The carbon pressure index was 0.80 in 2008 and 0.76 in 2017, showing a trend of first rising and then falling. This implies that Yunnan is carbon surplus and the level of carbon security is within the region of relatively safe. It is appropriate to improve upon the carbon carrying capacity and reduce the carbon footprint to maintain carbon security in the future.",,
JOUR,A web application to estimate the carbon footprint of constructed wetlands,"['Andreo-Martínez, Pedro', 'Ortiz-Martínez, Víctor Manuel', 'Muñoz, Andrés', 'Menchón-Sánchez, Pablo', 'Quesada-Medina, Joaquín']",Environmental Modelling & Software,135,104898,2021,2021/01/01/,1364-8152,https://doi.org/10.1016/j.envsoft.2020.104898,['https://www.sciencedirect.com/science/article/pii/S1364815220309555'],"['Constructed wetlands', 'Wastewater treatment', 'Carbon footprint', 'Web application development']","Constructed wetlands (CWs) are engineering systems recognized as an efficient and sustainable option to wastewater treatment. Due to the growing interest in CWs for waste management, the number of works analyzing their footprint and impact has risen in the last years. Thus, the study of these systems and their components in construction, operation, and demolition phases is important to characterize the technology and achieve a fully environmental-friendly approach. Until now, no complete tools for measuring both direct and indirect greenhouse gas (GHG) emissions in CWs have been reported in the field. Some efforts in this line are Life Cycle Assessment tools, which can be economically expensive and usually require specific training. Therefore, this work aims to present a web application as an open and complete tool for the estimation of GHG emissions in CWs, including both direct and indirect emissions and considering all the stages involved in their management.",,
JOUR,A comprehensive carbon footprint analysis of different wastewater treatment plant configurations,"['Wu, Ziping', 'Duan, Haoran', 'Li, Kaili', 'Ye, Liu']",Environmental Research,214,113818,2022,2022/11/01/,0013-9351,https://doi.org/10.1016/j.envres.2022.113818,['https://www.sciencedirect.com/science/article/pii/S0013935122011458'],"['Wastewater treatment process', 'Carbon footprint', 'Greenhouse gas emissions', 'Sludge management', 'Carbon neutrality']","With the growing concern of global warming, many water utilities are pioneering in mitigating greenhouse gas (GHG) emissions, with some water utilities aiming to achieve net-zero emissions operation in the next decade. However, for wastewater treatment plants (WWTPs), the carbon footprint of different treatment technologies and its contribution among various units within each treatment configuration is still unclear. This study evaluates the impacts of process design on the carbon footprint of WWTPs through the analysis of scope 1 (direct emission), scope 2 (indirect emission), and scope 3 (value chain emission) emissions. The comprehensive configuration design in this work considered three nutrient removal processes including typical aerobic and anaerobic wastewater treatment technologies. Emissions from the sludge management processes are also calculated, including aerobic and anaerobic sludge stabilization processes, short-term and long-term sludge storage, and three sludge disposal options. In total, 45 processes were analysed and the results were compared. The results showed the carbon footprints are highly dependent on the treatment configurations of WWTPs. Analysis suggested scope 2 & 3 emissions can be reduced by selecting suitable processes. In general, anaerobic wastewater and sludge stabilization technologies are more suitable than aerobic technologies to reduce scope 2 & 3 emissions, leading to a lower overall carbon footprint. In comparison, configuration design offers limited opportunities to reduce scope 1 emissions, which may be the future challenge for WWTP to achieve carbon neutrality.",,
JOUR,"How important is healthiness, carbon footprint and meat content when purchasing a ready meal? Evidence from a non-hypothetical discrete choice experiment","['Macdiarmid, Jennie I.', 'Cerroni, Simone', 'Kalentakis, Dimitrios', 'Reynolds, Christian']",Journal of Cleaner Production,282,124510,2021,2021/02/01/,0959-6526,https://doi.org/10.1016/j.jclepro.2020.124510,['https://www.sciencedirect.com/science/article/pii/S0959652620345546'],"['Carbon footprint', 'Meat', 'Saturated fat', 'Non-hypothetical discrete choice experiment', 'Willingness to pay', 'Sustainable diets']","Recent high-level reports state the population should decrease meat consumption to reduce greenhouse gas (GHG) emissions, as well as improve public health. This calls for new strategies to change dietary habits, especially as many consumers are reluctant to eat less meat. This study tests the effect of labelling a meat-based ready meal with different levels of carbon footprint and healthiness on consumers’ willingness to pay (WTP) for these attributes. Participants took part in two sequential non-hypothetical discrete choice experiments (DCE). In the first experiment, they completed a DCE where the ready meals (i.e. beef lasagne) were labelled using a dual traffic light labelling system; one labelled for carbon footprint and one for healthiness. In the second experiment, participants repeated the DCE after they were told the carbon footprint and healthiness varied because of the meat and saturated fat content, respectively. The study found that participants were willing to pay a premium for the healthier lasagne and this did not change when they were given the information about saturated fat content. Participants were also willing to pay a premium for lasagne with a lower carbon footprint, but this decreased when they knew these meals contained less meat. Information about the meat content had the unintended consequence of discouraging people to buy lasagne with a low carbon footprint. The study provides an important insight for policy and industry into the effect of labelling information on consumers’ purchasing decisions at a time when people are being encouraged to eat less meat.",,
JOUR,Optimizing strategies to reduce the future carbon footprint of maize under changing climate,"['Wu, Qingguan', 'He, Yong', 'Madramootoo, Chandra A.', 'Qi, Zhiming', 'Xue, Lulin', 'Bukovsky, Melissa', 'Jiang, Qianjing']","Resources, Conservation and Recycling",188,106714,2023,2023/01/01/,0921-3449,https://doi.org/10.1016/j.resconrec.2022.106714,['https://www.sciencedirect.com/science/article/pii/S092134492200547X'],"['Life cycle assessment', 'DNDC model', 'Clean energy use', 'Agricultural management practices', 'Residue return']","Many countries have set ambitious goals to achieve carbon neutrality around 2050. In this context food production systems are of interest, as they contribute one-third of global greenhouse gas emissions. This study assessed the carbon footprint (CF) of maize production under different agricultural management practices and scenarios based on a cradle-to-farm gate life cycle analysis and DNDC model, considering future climate impacts and clean energy use. Maintaining the current energy use strategy, under the management of residue removal, future climate change will lead to a 3.0% increase in the CF of maize, while in the residue returning system, the CF of maize will decrease by 40.9%. In the highly mechanized maize production system, the CF of maize was shown to be mainly determined by the CO2 equivalent emissions (CE) from upstream production and in-field portions, including soil emissions and the use of agricultural machinery. Residue return plays a critical role in establishing maize's CF, making maize fields a carbon sink. The use of clean energy can reduce the CF of maize by 482.9±8.6 kg CO2 eq ha−1. Our study serves as a reference for determining the potential of mitigating the total carbon emissions from maize production by 2050.",,
JOUR,Dynamic energy and carbon footprints of urban transportation infrastructures: Differentiating between existing and newly-built assets,"['Wei, Ting', 'Chen, Shaoqing']",Applied Energy,277,115554,2020,2020/11/01/,0306-2619,https://doi.org/10.1016/j.apenergy.2020.115554,['https://www.sciencedirect.com/science/article/pii/S0306261920310667'],"['Urban transportation infrastructure', 'Life-cycle analysis', 'Energy footprint', 'Carbon footprint', 'Scenario analysis']","Transportation infrastructures play an important role in building energy-efficient and low-carbon cities. Yet, how existing and newly-built assets contribute differently to the footprints of transportation infrastructures is not clear. In this paper, we develop a life-cycle approach to quantify the energy and carbon footprints of urban transportation infrastructures over time, with a clear differentiation between existing and newly-built assets. Taking Guangzhou, China as a case study, we evaluate the dynamic footprints of various types of urban transportation infrastructure (roads, subway, and railway) across their life-cycle stages until 2017, and perform a scenario analysis to 2035 to explore future pathways of footprint mitigation. We find that the energy and carbon footprints of road assets built prior to 2005 are around 36 times higher than those of the subway and 5 times higher than those of the railway. However, this situation has begun to shift over 2006–2017 as the subway and railway have become more popular means of transportation and bigger contributors to the city’s energy and carbon footprints. The pace of technological advances in building transportation infrastructure needs to exceed that of the average urban economy to steadily reduce the energy and carbon footprints of the new projects planned. These findings offer a dynamic life-cycle approach and tool to evaluate long-term regulatory policies toward a more sustainable transportation infrastructure system in cities.",,
JOUR,"Influence of tech-industry, natural resources, renewable energy and urbanization towards environment footprints: A fresh evidence of Saudi Arabia","['Aziz, Ghazala', 'Sarwar, Suleman', 'Nawaz, Kishwar', 'Waheed, Rida', 'Khan, Mohd Saeed']",Resources Policy,83,103553,2023,2023/06/01/,0301-4207,https://doi.org/10.1016/j.resourpol.2023.103553,['https://www.sciencedirect.com/science/article/pii/S0301420723002647'],"['High tech', 'Natural resources', 'Renewable energy', 'Environment footprint', 'Saudi Arabia']","This study examines the significance of technological industry and forest on environmental footprints. As control variables, we included renewable energy, and urbanization for econometric estimations. Contrary to what has been published in the literature, the forest coefficients are negligible. In contrast, the current study confirms the importance of technology and renewable energy in reducing environmental footprints, indicating that environmental degradation can be reduced by shifting toward technological industry and changing the energy market by increasing the percentage of sustainable energy. In Saudi Arabia, on other hand, urbanization is the source of increased environmental footprints. In short-run estimations, the studied variables are insignificant to have an impact on environmental footprint. According to Vision 2030, the findings are similar to policies, particularly for forestation, need to be adjusted. The role of forest remains insignificant, indicating that forestation must be addressed urgently. The findings are intriguing and have significant policy implications for environmental policymakers.",,
