type_of_reference,primary_title,authors,journal_name,volume,start_page,year,date,issn,doi,urls,keywords,abstract,number,end_page,secondary_title
JOUR,Inter-provincial flow and influencing factors of agricultural carbon footprint in China and its policy implication,"['Ju, Hongrun', 'Zeng, Guotao', 'Zhang, Shengrui']",Environmental Impact Assessment Review,105,107419,2024,2024/03/01/,0195-9255,https://doi.org/10.1016/j.eiar.2024.107419,['https://www.sciencedirect.com/science/article/pii/S0195925524000064'],"['Agricultural carbon footprint', 'Inter-provincial flow', 'Multi-regional input-output model', 'Influencing factors', 'Geographical detector', 'China']","The increasing inter-provincial trade is prompting the regional transmission of agricultural carbon footprint (ACF) in China. Understanding the factors driving this phenomenon is crucial for mitigating the carbon footprint of agricultural production. Nevertheless, comprehending the carbon flow of the agricultural industry within China remained insufficient. Furthermore, quantifying the driving forces behind ACF and carbon flow for a single year posed a significant challenge. In this study, we aim to uncover the distribution and flow pattern of the carbon footprint in China's agricultural industry using a multi-regional input-output model. Moreover, we introduce a novel approach by employing geographical detectors to analyze the influencing factors from a spatial heterogeneity perspective. The results reveal that China's ACF in 2015 amounted to 48,826.69 thousand tons of carbon equivalents (CO2eq). The ACF was generally higher in the northern regions and lower in the central areas. A Jevons paradox phenomenon was observed in Shandong, where ACF was higher, and agricultural carbon emission intensity was lower, suggesting that improvements in agricultural efficiency can paradoxically lead to increased carbon emissions. Notably, 39.39% of ACF was involved in regional transfers. The primary flow of agricultural carbon occurred from northern to southeastern coastal areas, with Guangdong (4447.49 thousand tons of CO2eq) and Heilongjiang (−2225.25 thousand tons of CO2eq) being the leading inflow and outflow provinces, respectively. Socioeconomic and agricultural factors played a significant role in shaping the distribution of ACF and its inter-regional transmission. Socioeconomic factors, including GDP, population, industry structure, and educational expenditure, predominantly influenced inflow ACF. Meanwhile, agricultural factors related to land use and grain output primarily affected outflow ACF. Suggestions for reducing carbon footprint in the agricultural sector was proposed based on the condition of ACF and flow types, from the production and consumption aspects. Provinces of ACF inflow and outflow should share the responsibility for reducing ACF, potentially through carbon trading and reciprocal technological assistance. This study offers substantial theoretical value by providing a comprehensive understanding of the spatial flow and driving factors of ACF within China's agricultural sector.",,,
JOUR,Carbon reduction potential of a rain garden: A cradle-to-grave life cycle carbon footprint assessment,"['Peng, Yijun', 'Wang, Yafei', 'Chen, Hanxi', 'Wang, Lu', 'Luo, Biao', 'Tong, Hongxiang', 'Zou, Yi', 'Lei, Zongxiong', 'Chen, Shaoqing']",Journal of Cleaner Production,434,139806,2024,2024/01/01/,0959-6526,https://doi.org/10.1016/j.jclepro.2023.139806,['https://www.sciencedirect.com/science/article/pii/S0959652623039641'],"['Rain garden', 'Life cycle assessment', 'Carbon footprint', 'Carbon reduction', 'Old community renovation']","With emphasis on constructing low-carbon cities, the renovation of old communities highlights the importance of renewing rainwater management facilities. Rain garden is an exceptional Nature-based Solution for rainwater management. When applying them to renovate old communities, the carbon footprint should be considered. This study focused on renovating facilities in the Greater Bay Area and utilized the Energy Expert platform to calculate rain garden carbon footprint with the Life Cycle Assessment. The carbon reduction benefits during the operation were estimated. This study accounting the life cycle carbon footprint of the 5455 m2 rain garden was 1117.42 tCO2e. The carbon footprint contribution, from highest to lowest was the end-of-life phase, materials production phase, construction phase, use and maintenance phase. Regarding carbon emission inventory, waste soil landfill, fertilizer acquisition, and waste soil recycling ranked high. Transportation also accounted for a remarkable carbon emission. The rain garden showed great potential for climate change mitigation, with a total and net carbon reduction of 1927.41 and 809.99 tCO2e, respectively. To reduce the carbon footprint of the rain garden, we should focus on waste soil treatment and transportation. Recommendations included increasing waste soil recycling, in situ recycling and green transportation.",,,
JOUR,Carbon Footprint Drivers in China’s Municipal Wastewater Treatment Plants and Mitigation Opportunities through Electricity and Chemical Efficiency,"['Qu, Shen', 'Hu, Yuchen', 'Wei, Renke', 'Yu, Ke', 'Liu, Zhouyi', 'Zhou, Qi', 'Wang, Chenchen', 'Zhang, Lujing']",Engineering,,,2024,2024/03/08/,2095-8099,https://doi.org/10.1016/j.eng.2024.01.021,['https://www.sciencedirect.com/science/article/pii/S2095809924001267'],"['Municipal wastewater treatment plants (MWWTPs)', 'Carbon footprint', 'Driving Factors', 'Mitigation opportunities']","Reducing greenhouse gas (GHG) emissions to address climate change is a global consensus, and municipal wastewater treatment plants (MWWTPs) should lead the way in low-carbon sustainable development. However, achieving effluent discharge standards often requires considerable energy and chemical consumption during operation, resulting in significant carbon footprints. In this study, GHG emissions are systematically accounted for, and the driving factors of carbon footprint growth in China’s MWWTPs are explored. In 2020, a total of 41.9 million tons (Mt) of carbon dioxide equivalent (CO2-eq) were released by the sector, with nearly two-thirds being indirect emissions resulting from energy and material usage. The intensity of electricity, carbon source, and phosphorus removing agent consumption increasingly influence carbon footprint growth over time. Through statistical inference, benchmarks for electricity and chemical consumption intensity are established across all MWWTPs under various operational conditions, and the potential for mitigation through more efficient energy and material utilization is calculated. The results suggest that many MWWTPs offer significant opportunities for emission reduction. Consequently, empirical decarbonization measures, including intelligent device control, optimization of aeration equipment, energy recovery initiatives, and other enhancements to improve operational and carbon efficiency, are recommended.",,,
JOUR,Energy and carbon footprint of metals through physical allocation. Implications for energy transition,"['Torrubia, Jorge', 'Valero, Alicia', 'Valero, Antonio']","Resources, Conservation and Recycling",199,107281,2023,2023/12/01/,0921-3449,https://doi.org/10.1016/j.resconrec.2023.107281,['https://www.sciencedirect.com/science/article/pii/S0921344923004159'],"['Energy footprint', 'Carbon footprint', 'Metals', 'Life cycle inventories', 'Physical allocation', 'Energy transition']","The increasing metal demand driven by energy and digital transition has led to more complex mining operations. To allocate environmental impacts in cases of mining co-production, this study proposes a physical method based on the relative geological scarcity of elements, which provides the basis for an exergy cost allocation. It focuses on calculating the energy and carbon footprint of 51 metals, including 28 co-products, based on available databases. The analysis considers the fuel type, main production stages and the energy footprint of up to 25 chemicals. This study provides new insights into 39 infrequently studied metals. Results show that by using renewable electricity in production, 41 metals can reduce their carbon footprint by up to 50 %. However, key metals such as Fe or Li require additional decarbonization efforts beyond electricity. Only by decarbonizing metal production is possible a renewable infrastructure that can achieve the energy transition goals.",,,
JOUR,"Average total weight of surgical waste and CO2 carbon footprint of orthopedic surgery in France, estimated on the basis of a representative panel","['Ogeron, Pierre', 'Boukebous, Baptiste', 'Desender, Anthony', 'Massard-Combe, Philippe', 'Vorimore, Camille', 'Guillon, Pascal']",Orthopaedics & Traumatology: Surgery & Research,,103910,2024,2024/05/21/,1877-0568,https://doi.org/10.1016/j.otsr.2024.103910,['https://www.sciencedirect.com/science/article/pii/S1877056824001543'],"['Carbon footprint', 'Orthopedic surgery', 'Waste']","Background Reduction of waste and carbon footprint can be optimized. Awareness of carbon sources and quantification of the waste are two key parameters. To our knowledge, there is no study in France on waste production by the surgical team during the operation in orthopedic surgery, in a global scope. Therefore, we performed an observational investigation aiming to: (1) quantify and characterize the weight of the wastes generated after a panel of orthopedic procedures, (2) calculate the CO2 footprint generated by these wastes and extrapolate the figure at the national scale. Hypothesis Waste production is highly variable according to the types of procedures and infectious clinical waste is still a predominant source of waste and CO2 emission. Materials and methods It is a comparative and prospective study in which a total of 14 procedures were selected as a representative panel: arthroplasties (hip, knee), spine fusions, arthroscopic procedures (shoulder, knee), nerve release, forefoot osteotomies, trauma procedures. The main outcome was the average total weight of waste for each of the fourteen categories (280 measurements: 140 times 2, at the end of each procedure), expressed in kilograms (kg), and the proportions of infectious clinical waste (ICW) and household wastes (HW), expressed in percentages. Ten measures were prospectively recorded for each type of procedure in a single teaching hospital from January to September 2022. The theoretical carbon footprint generated by the treatment of the wastes was estimated in kilograms of CO2 equivalent (KgEqCO2). The national extrapolation of the carbon footprint was performed by collecting the total number of procedures in France in 2021 using the VisuChir tool. Results A total of 937kg of waste were produced for the 140 procedures, amongst which 514kg of ICW (54.8%) and 423kg of HW (45.2%). The overall median waste weight was 5.9kg (Q1: 4.4, Q3: 8.1), ranging from 1.8kg to 18.3kg. The overall median waste weight for HW was 2.8kg (Q1: 2.5, Q3: 3.4), ranging from 1.8kg to 17.8kg. The overall median waste weight for ICW was 3.8kg (Q1: 2.7, Q3: 4.8), ranging from 0.8kg to 7.2kg. The knee surgeries were responsible for the heaviest waste weight; the least waste-productive procedures were the foot and the carpal tunnel release. The median proportions of ICW varied from 39% for the total knee replacements to 72% for the femoral nails. There was a significant inverse correlation between the total waste weight and the proportion of ICW: r=−0.47, p<10−4. The total median estimated carbon footprint was 4.3KgCO2Eq (Q1: 3.1, Q3: 5.8), ranging from 1.59KgCO2Eq (Q1: 1.5, Q3: 1.8) and 7.07KgCO2Eq (Q1: 6.7, Q3: 8.17). The total median estimated carbon footprint was 3.5KgCO2Eq for ICW (Q1: 2.5, Q3: 4.5) and 0.76KgCO2Eq (Q1: 0.54, Q3: 1.3) for HW. The national median estimated carbon footprint was 10.1 million KgEqCO2 in 2021 for orthopedic surgery. Conclusion Our study revealed that in most cases more than half of the wastes were ICW. The total estimated national carbon footprint for orthopedic procedures was 10 million kilograms. The reduction of the ICW constitutes a cornerstone, as they are responsible for more carbon emissions. Level of evidence III; prospective comparative observational in vivo study.",,,
JOUR,Does higher climate concern lead to a smaller carbon footprint? A study among the Nordic country residents,"['Árnadóttir, Áróra', 'Abdirova, Tolkyn', 'Olson, Sarah', 'Heinonen, Jukka', 'Czepkiewicz, Michal']","Resources, Conservation and Recycling",205,107543,2024,2024/06/01/,0921-3449,https://doi.org/10.1016/j.resconrec.2024.107543,['https://www.sciencedirect.com/science/article/pii/S0921344924001381'],"['Climate concern', 'Pro-climate attitude', 'Carbon footprint', 'Nordic countries', 'Demand-side measure']","The global carbon budget to keep warming within 1.5° is being rapidly depleted, and demand-side measures are crucial to meet mitigation targets. Although the Nordic countries are regarded as having strong environmental policies, per capita consumption-based carbon footprints are high. The effect of climate concern and other pro-environmental attitudes on pro-environmental behaviour has been extensively studied, but the relationship between climate concern and consumption-based carbon footprints is largely unknown. Using responses from around 8000 Nordic participants of an online carbon footprint calculator survey, carbon footprints were investigated at different levels of climate concern, across consumption domains, and across the five Nordic countries. Although participants with high climate concern had carbon footprints between 1.5–2 tons lower than those with low concern, the overall footprints were well above the global average, and 2–3x higher than the level compatible with 1.5° warming.",,,
JOUR,Changing carbon footprints and the consequent impacts of carbon taxes and cash transfers on poverty and inequality across years: A Peruvian case study,"['Malerba, Daniele', 'Roscioli, Federico', 'Gaentzsch, Anja', 'Ward, Hauke']",Energy Policy,192,114246,2024,2024/09/01/,0301-4215,https://doi.org/10.1016/j.enpol.2024.114246,['https://www.sciencedirect.com/science/article/pii/S0301421524002660'],"['Carbon tax', 'Distributional effects', 'cash transfers', 'Simulation', 'Peru']","Carbon taxes are key policies to achieve climate goals. Yet, they increase prices especially in the short term, and can affect households’ income depending on their carbon footprints. Cash transfer programs can be used to address adverse social impacts and protect the poorest. However, because carbon footprints, and the consequent tax impacts, may change over time it is important to understand how to design and adapt such cash transfer programs accordingly. As the existing studies focus on single years, we address the gap in the literature in two steps. First, we estimate changes in carbon footprints and their drivers over time; second, we simulate the effects of a carbon tax in combination with cash transfers on poverty and inequality for the years 2004, 2007 and 2011 in Peru. We combine a bottom-up household carbon footprint estimation, and multiple scenarios simulation. We show that, in a context of rapid economic growth, footprints increase over time, particularly for lower deciles. Most importantly, the distributional impacts of a reform combining carbon tax and cash transfers change by year. The paper concludes that, to maximize poverty and inequality reduction, the design of cash transfer programs and tax levels need to be adapted over time.",,,
JOUR,Repercussions of Pakistan's renewable and non-renewable energies to the environmental footprint: Applying the non-linear ARDL estimation,"['Aziz, Ghazala', 'Bakoben, Hussam Buzaid M.', 'Sarwar, Suleman']",Heliyon,10,e33472,2024,2024/07/15/,2405-8440,https://doi.org/10.1016/j.heliyon.2024.e33472,['https://www.sciencedirect.com/science/article/pii/S2405844024095033'],"['Renewable energy', 'Economic growth', 'Environment', 'Nonlinear ARDL', 'Pakistan']","The energy consumption in Pakistan, both renewable and nonrenewable, is examined herein as an important factor in carbon emissions. Employing a nonlinear ARDL (auto-regressive distributed lag), the research examines data from 1980 to 2021. The results show that the use of renewable energy has a negligible effect when it comes to the nation's overall carbon emissions. This is mainly because the key pollutants in Pakistan's energy sector come from nonrenewable sources, such as coal and natural gas. However, the report observes that the carbon emissions within the nonrenewable energy sector are directly related to economic growth. A further theorem of the nonlinear analysis has brought the limited role of renewable energy in resolving environmental problems into sharper focus, perhaps due to its lower proportion of Pakistan's total energy mix. According to the study, improving the proportion of renewable energy is the only way to combat environmental problems.",13,,
JOUR,Assessment of carbon footprint in Qatar's electricity sector: A comparative analysis across various building typologies,"['Abulibdeh, A.', 'Jawarneh, R.N.', 'Al-Awadhi, T.', 'Abdullah, M.M.', 'Abulibdeh, R.', 'El Kenawy, A.M.']",Renewable and Sustainable Energy Reviews,189,114022,2024,2024/01/01/,1364-0321,https://doi.org/10.1016/j.rser.2023.114022,['https://www.sciencedirect.com/science/article/pii/S1364032123008808'],"['Carbon footprint', 'Hot/coldspot analysis', 'Life cycle assessment', 'Qatar', 'Climate change', 'Environmental sustainability']","Carbon footprint (CF) estimation has emerged as an integral tool for greenhouse gas (GHG) management, providing direction for emission reduction strategies and verification processes. Since capturing the full lifecycle emissions of goods and services at the city level can be methodologically challenging due to the fact that cities have multiple sources of emissions (e.g. transportation, waste, buildings), our study focused on evaluating the carbon footprint of various types of urban buildings across six sectors. This evaluation was conducted in one of the most rapidly urbanized cities in the Middle East, Doha City, Qatar, and was based on electricity consumption data from 2017 to 2020. Using multiregional input–output life cycle assessment (MRIO-LCA) and hot/coldspot analysis, this study identified CF emission spatiotemporal patterns and the major buildings responsible for the highest emissions. The results indicated that residential villas and the commercial sector had the highest electricity consumption and steady increases in CF emissions during the study period, whereas hotels had the lowest annual electricity consumption among all sectors. The study also identified significant CF emission hotspots from Doha residential buildings in the southwestern and northeastern areas. In contrast, the CF hotspots from commercial buildings were concentrated in the industrial area in the southern part of the city and in the West Bay area in the eastern part. Overall, the findings of this study provide important policy implications and a comprehensive assessment of dynamic changes in CF emissions from different building types.",,,
JOUR,Towards estimating the carbon footprint of external beam radiotherapy,"['Chuter, Robert', 'Stanford-Edwards, Catherine', 'Cummings, James', 'Taylor, Clare', 'Lowe, Gerry', 'Holden, Eleanor', 'Razak, Rehanah', 'Glassborow, Eloise', 'Herbert, Stephen', 'Reggian, Genotan', 'Mee, Thomas', 'Lichter, Katie', 'Aznar, Marianne']",Physica Medica,112,102652,2023,2023/08/01/,1120-1797,https://doi.org/10.1016/j.ejmp.2023.102652,['https://www.sciencedirect.com/science/article/pii/S1120179723001291'],"['Carbon footprint', 'Sustainability', 'Radiotherapy']","Purpose The National Health Service (NHS) in the United Kingdom (UK) is aiming to be carbon net zero by 2040 to help limit the dangerous effects of climate change. Radiotherapy contributes to this with potential sources quantified here. Method Activity data for 42 patients from within the breast IMRT and prostate VMAT pathways were collected. Data for 20 prostate patients was also collected from 3 other centres to enable cross centre comparison. A process-based, bottom-up approach was used to calculate the carbon footprint. Additionally, patients were split into pre-COVID and COVID groups to assess the impact of protocol changes due to the pandemic. Results The calculated carbon footprint for prostate and breast pre-COVID were 148 kgCO2e and 101 kgCO2e respectively, and 226 kgCO2e and 75 kgCO2e respectively during COVID. The energy usage by the linac during treatment for a total course of radiotherapy for prostate treatments was 2–3 kWh and about 1 kWh for breast treatments. Patient travel made up the largest proportion (70–80%) of the calculated carbon footprint, with linac idle power second with ∼ 10% and PPE and SF6 leakage were both between 2 and 4%. Conclusion These initial findings highlight that the biggest contributor to the external beam radiotherapy carbon footprint was patient travel, which may motivate increased used of hypofractionation. Many assumptions and boundaries have been set on the data gathered, which limit the wider application of these results. However, they provide a useful foundation for future more comprehensive life cycle assessments.",,,
JOUR,"Decentralized production concepts for bio-based polymers - implications for supply chains, costs, and the carbon footprint","['Riese, Julia', 'Fasel, Henrik', 'Pannok, Maik', 'Lier, Stefan']",Sustainable Production and Consumption,46,460,2024,2024/05/01/,2352-5509,https://doi.org/10.1016/j.spc.2024.03.001,['https://www.sciencedirect.com/science/article/pii/S2352550924000629'],"['Modular plants', 'Supply chain planning', 'Bio economy', 'Techno-economic assessment', 'Sustainable production']","This paper presents a multi-dimensional evaluation of decentralized production networks based on modular production plants. The main objective of this evaluation is to examine the effects of different degrees of decentralization in production networks of the chemical industry. Using the production of a biopolymer as an example, the study includes strategic supply chain planning by agent-based simulations, economic evaluation by calculation of net present values and environmental assessment by calculation of carbon footprints. By allowing for dynamic reconfiguration of the decentralized networks over time, it is shown that mobile, modular plant concepts are beneficial to reduce supply chain expenses. Transportation efforts resulting from strategic supply chain planning are reduced by 40 % with increasing degree of decentralization. The profitability of the decentralized networks is dominated by the costs for the production processes themselves as capital and operational expenditures allocate to >50 % of the total costs. Product prices of 3000 to 5500 €2020 per ton are necessary to reach profitability of the decentralized production networks. Regarding the environmental assessment, the carbon footprint of the supply chain accounts for <3 % of the total emissions, which are dominated by the provision of process heat that accounts for 46 to 68 % of the total emissions. Carbon footprint of the decentral production networks can be significantly reduced by a systematic electrification of 90 % of the process heat demand.",,475,
JOUR,Sustainable lifestyle: Urban household carbon footprint accounting and policy implications for lifestyle-based decarbonization,"['Huang, Liqiao', 'Long, Yin', 'Chen, Jundong', 'Yoshida, Yoshikuni']",Energy Policy,181,113696,2023,2023/10/01/,0301-4215,https://doi.org/10.1016/j.enpol.2023.113696,['https://www.sciencedirect.com/science/article/pii/S0301421523002811'],"['City', 'Household', 'Carbon footprint', 'Time', 'Emission reduction']","Cities, as the primary hubs of economic activities and the end-points of goods and services consumption, bear significant responsibility for the majority of global greenhouse gas emissions. Consequently, there is a pressing need for more granular data at the subnational level to formulate effective and feasible measures in line with current decarbonization targets. In this study, we present the carbon footprint embodied in household consumption behavior of 11 major metropolitan areas in Japan. Furthermore, our study innovatively introduces a temporal perspective, employing time organization as an insightful indicator to delineate the disparities in carbon footprints that arise from varying carbon intensities of distinct activities. The results are given from the following three aspects: 1) structural comparison of urban household carbon footprints; 2) time-based activity differences and drivers; and 3) inequality analysis among different activity-based carbon footprints. Here, we found that eating contributes most substantially to the carbon footprint. Conversely, transportation activities manifest the greatest regional inequality in carbon footprints. These findings provide indispensable evidence for the development of city-specific net-zero-emission goals within Japan. Furthermore, they exemplify the value of incorporating a temporal dimension into household carbon footprint analyses, thereby providing a broader perspective for future investigations in this field.",,,
JOUR,Improving rapeseed carbon footprint evaluation via the integration of remote sensing technology into an LCA approach,"['Yang, Xueqing', 'Dong, Xiuchun', 'Bezama, Alberto', 'Liu, Yang']",Science of The Total Environment,946,174262,2024,2024/10/10/,0048-9697,https://doi.org/10.1016/j.scitotenv.2024.174262,['https://www.sciencedirect.com/science/article/pii/S0048969724044103'],"['Climate change', 'Spatial-temporal heterogeneity', 'Life cycle assessment', 'Environmental effects', 'Soil organic carbon', 'Greenhouse gas emissions']","Agricultural carbon footprint (CF) evaluation plays an important role in climate change mitigation and national food security. Many studies have been conducted worldwide to evaluate the CF of rapeseed and its byproducts; however, only a few of these studies have considered finer-scale spatial-temporal heterogeneity. Considering the advantages of using detailed crop information extracted by remote sensing (RS) techniques, we attempted to integrate RS into life cycle assessments to improve rapeseed CF evaluation. A case study was conducted from 2021 to 2023 in one of the most important grain- and rapeseed-producing areas in Southwest China, namely, the Chengdu Plain, covering an area of 18,810.00 km2. The results of our study suggest that: (1) the proposed approach is applicable for high-resolution (10 m ∗ 10 m) rapeseed distribution mapping; (2) the farm-based CFs of rapeseed in the studied region range from 3333.08 to 4572.82 kgCO2-eq ha−1, while the product-based CFs (PCFs) vary from 1316.23 to 2443.95 kgCO2-eq t−1. Nitrogen fertilizer processing and its application are identified as the dominant contributors to upstream and downstream greenhouse emissions (GHGs), respectively; (3) the significant role of soil properties and soil organic carbon in influencing crop PCFs indicates good GHG offsets. The method used in the current study has strong adaptability and universality in different areas with various climatic conditions and can provide a solid basis for policymakers to formulate differentiated agricultural carbon reduction policies.",,,
JOUR,Spatiotemporal evolution and influence mechanism of the carbon footprint of energy consumption at county level in the Yellow River Basin,"['Song, Mei', 'Zhang, Liyan', 'Gao, Yan', 'Li, Enxu']",Science of The Total Environment,883,163710,2023,2023/07/20/,0048-9697,https://doi.org/10.1016/j.scitotenv.2023.163710,['https://www.sciencedirect.com/science/article/pii/S0048969723023318'],"['Remote-sensing data', 'Light-carbon conversion', 'County carbon footprint', 'Evolutionary path', 'Panel quantile regression', 'Carbon neutrality']","Implementing emission reduction policies at county level is important to realize high-quality development in the Yellow River Basin and achieve national “carbon peaking” and “carbon neutrality” goals. Based on remote-sensing data of night light, net primary productivity, and land use, the present study utilized the light‑carbon conversion and carbon footprint measurement models to quantify the carbon footprint of energy consumption. An exploratory spatiotemporal data analysis method was implemented to analyze the spatiotemporal evolution path. Panel quantile regression and spatiotemporal transition-nested models were used to reveal the influence mechanism of the spatiotemporal evolution of the carbon footprint. The following results were obtained. (1) The carbon footprint of counties increased from 2001 to 2020. Counties with high‑carbon footprint diffused around the “one center and two axes”. Carbon-deficit counties exhibited a diffused trend towards the west. In 2020, 506 counties exhibited carbon deficits, and the carbon balance of the ecosystem was severely unbalanced. (2) The carbon footprint showed evident path dependence and Matthew effect. The high‑carbon footprint lock-in area comprising 177 counties is a challenging zone for governance. The 86 counties that exhibit carbon footprint changes are the key zones to drive the carbon footprint changes in the Basin. The change direction of the county's carbon footprint type, with evident spatial correlation characteristics, is in accordance with adjacent counties. (3) The carbon footprint spatiotemporal transition types and influence mechanisms in counties exhibited significant differences, with the coexistence of low-carbon footprint driving, low-carbon footprint restriction, high-carbon footprint driving and high-carbon footprint restriction modes. As the influence mechanisms of different modes and the paths to achieve “dual carbon” goals are different, the governance of different modes should focus on optimizing and strengthening restriction factors or controlling and improving of driving factors.",,,
JOUR,Assessing the carbon footprint in dairy cattle farms in the northern temperate region of Spain,"['Salcedo Díaz, Gregorio', 'Merino Pereda, Pilar', 'Salcedo-Rodríguez, Daniel']",Farming System,2,100058,2024,2024/01/01/,2949-9119,https://doi.org/10.1016/j.farsys.2023.100058,['https://www.sciencedirect.com/science/article/pii/S2949911923000606'],"['Modelling', 'Carbon footprint', 'Greenhouse gases emissions', 'Dairy cattle', 'Farm']","The availability of models constitutes a key factor when selecting a decision support tool aimed at improving the production and environmental aspects of farms. There is a need for robust models that are user-friendly, facilitating the estimation of farm emissions and the analysis of their temporal fluctuations. The objectives of this study were i) to calculate both the partial (PCF) and total carbon (TCF) footprints of 212 dairy farms, distinguishing those with and without maize cultivation; ii) to identify critical variables related to feed, nutrition, productivity and environmental efficiency; and iii) to formulate and validate prediction equations based on available data from dairy farms. The database encompasses information from 212 dairy cattle farms situated in the temperate-humid zone of northern Spain, spanning the period from 2014 to 2018. Farm classification was based on the presence (CcMz) or absence (ScCMz) of maize cultivation for silage production, resulting in 96 farms in the CcMz category and 116 farms in the ScCMz category. Among the variables considered, the variable herd N-use efficiency (NUECR) for (PCF) showed the lowest root mean square error of prediction at 0.39% and the correspondingly lowest root men. The root mean squared percentage error (RMSPE): standard deviation ratio (RSR) at 0.52. In the case of total carbon footprint (TCF), herd N-use efficiency (NUECR) again showed the lowest root mean square error of prediction at 0.52%. Regarding TCF, herd feed efficiency (EACR) was the variable with the lowest both RMSPE and RSR, with 0.65 and 0.64, respectively. Consequently, the estimation of the PCF and TCF of 1 ​kg of milk from the temperate-humid zone of northern Spain at the farm gate can be feasibly accomplished utilizing NUECR and EACR, respectively.",1,,
JOUR,Carbon footprint tracking apps. Does feedback help reduce carbon emissions?,"['Hoffmann, Stefan', 'Lasarov, Wassili', 'Reimers, Hanna', 'Trabandt, Melanie']",Journal of Cleaner Production,434,139981,2024,2024/01/01/,0959-6526,https://doi.org/10.1016/j.jclepro.2023.139981,['https://www.sciencedirect.com/science/article/pii/S0959652623041392'],"['Sustainable consumption', 'Greenhouse gas emissions', 'Digital tool', 'Green self-efficacy', 'Green self-identity']","One of the primary issues of sustainable consumption is that many individuals are uncertain about the environmental impact of their consumption choices and, consequently, they are uncertain how to adjust their habits to consume more sustainably. Carbon footprint tracking apps (CFTAs) seek to address this information gap by continuously educating consumers on their carbon emissions. Since the effectiveness of CFTAs has not yet been investigated at all, the authors developed a CFTA to explore whether and how such applications help shape consumption behavior. Over several survey rounds, 216 participants used the application to log their consumption in four main consumption domains. The results indicate that the feedback given can help decrease carbon emissions by 23%. The impact varies by consumption category, ranging from a 12% reduction in mobility to a 35% reduction in household activities. Moreover, individual traits influence the effectiveness of CFTA usage: Perceived green self-efficacy amplifies the feedback's effect, whereas a strong green self-identity diminishes it. Based on these results, the authors guide practitioners and academics on how to employ CFTAs to foster and research sustainable consumer behavior, and the authors show how to account for inter-individual differences when endorsing such apps. Future research should probe ways to boost effectiveness in specific areas and for particular personalities.",,,
JOUR,Quantifying the carbon footprint of energy storage applications with an energy system simulation framework — Energy System Network,"['Parlikar, Anupam', 'Tepe, Benedikt', 'Möller, Marc', 'Hesse, Holger', 'Jossen, Andreas']",Energy Conversion and Management,304,118208,2024,2024/03/15/,0196-8904,https://doi.org/10.1016/j.enconman.2024.118208,['https://www.sciencedirect.com/science/article/pii/S0196890424001493'],"['Energy system', 'Battery energy storage system', 'Energy System Network', 'Carbon footprint', 'Levelized Emissions of Energy Supply (LEES)', 'LEES', 'State of Carbon Intensity (SOCI)']","Energy storage is a crucial flexibility measure to temporally decouple power generation from power demand and is touted as the missing link in realizing a decarbonized energy system based on renewable energy. Energy storage capacity buildup at all levels of the global energy system is expected to accelerate the decarbonization process. To this end, a coherent mathematical framework to ascertain the carbon footprint of localized energy systems with energy storage is indispensable. This article presents an open-source energy system simulation program — Energy System Network (ESN). A variety of energy system configurations can be simulated with the Python program, which incorporates key energy system components such as generation, grid, storage, and loads. ESN features an integrated bottom-up approach that combines energy system modeling with streamlined life cycle assessment techniques to quantify the carbon footprint of all components in a localized energy system. The lifecycle phases of each component, including production, operation, and end-of-life treatment, can be considered. Carbon footprint values are obtained for two demonstrative case studies with lithium-ion battery applications: energy arbitrage and home energy systems. The metric Levelized Emissions of Energy Supply (LEES) has been used to evaluate the carbon footprint of each application. An unconventional energy arbitrage strategy designed to exploit the grid carbon intensity spreads instead of the energy price spreads manages to achieve a LEES value about 17% lower than the conventional variant. The influence of rooftop solar generation, battery energy storage system, and the energy management strategy on the LEES values for a home energy system is explored. A maximum LEES reduction of over 37% vis-á-vis the base scenario was observed with optimal energy management for the solar generation and the battery system. The open-source availability of ESN can contribute to transparency, comparability, and reproducibility in carbon footprint assessments of localized energy systems with energy storage.",,,
JOUR,Redefine carbon footprint performance with the total factor productivity: A case from a regional food production system,"['Chen, Ru', 'Kong, Ying']",Ecological Indicators,144,109540,2022,2022/11/01/,1470-160X,https://doi.org/10.1016/j.ecolind.2022.109540,['https://www.sciencedirect.com/science/article/pii/S1470160X22010135'],"['Carbon footprint performance', 'Total factor productivity', 'Technical efficiency', 'Smallholders', 'Food production system', ""China's Shaanxi province""]","By observing the disturbance of indicators, models, and samples variability to the robustness of low carbon performance evaluation, the importance of random errors and heterogeneity of sample data is clarified. The carbon footprint joint total factor productivity conceptual framework is proposed in this study, then we apply it to a food production system in a region of China to reasonably judge the carbon footprint performance level of peasant households. With regard to the single-output production frontier, the internal method changes did not cause significant changes in the level of crop production technical efficiency in the deterministic and stochastic estimation strategies respectively. Although the results of partial low-carbon economic technical efficiency are consistent in the two estimation strategies, a significant difference is obvious for the low-carbon technical efficiency; The total low-carbon economic technical efficiency is significantly different between deterministic non-parametric slacks-based measure and parameterized random distance function estimation strategies under the framework of the multi-output production frontier; Ultimately, the total factor productivity including the carbon footprint of the food system in our research area close to the technical level of the industry, as well as the technical efficiency of the sample is at an efficient level.",,,
